Aculus	Aculo
aestimatio	estimatione
aestimatio	estimationem
esurio	esuriit
etcetera	etc.
ethicus	eth.
ethicus	ethic.
ethici	ethicorum
euangelium	euangelio
euangelista	euangelistae
euenio	eueniunt
euidentia	euidentiam
eo	euntes
euidentia	evidentiam
ex	ex
exalto	exaltatus
exalto	exaltauit
excipio	exceptis
excepto	excepto
exsecutio	executio
exsecutio	executione
exsecutio	executionem
exsecutor	executores
exsequor	exequentis
exsequor	exequitur
exeo	exeuntes
exhibeo	exhibendum
exhibeo	exhibendus
exeo	exiens
exigo	exigendum
exinanio	exinaniuit
exinde	exindem
exsisto	existenti
exsisto	existentibus
exsisto	existentis
exsisto	existere
exeo	existis
exsisto	existit
exsisto	existunt
exodus	exod.
exodus	exodi
exorior	exorta
exspecto	expectamus
exspecto	expectans
exspecto	expectantes
exspecto	expectari
exspecto	expectatur
expendibilis	expendibiles
expendibilis	expendiviles
expendibilis	expendivilis
experior	expertus
expleo	expleti
expono	expositum
ex(s)urgo	exsurgens
extendo	extendens
aestimatio	extimatione
aestimatio	extimationem
ex(s)ulto	exultavit
ezechiel	ezech.
ezechias	ezechiae
fax	face
facio	facienda
facio	faciendi
facio	faciendo
facio	faciendum
facio	faciens
facio	faciente
facio	facientem
facio	facientes
facio	facientis
facilis	facilis
facile	facillime
facio	facta
facio	factae
facio	factam
facio	factarum
facio	facti
factiuus	factiua
facio	factum
facio	facturum
facio	facturus
facio	factus
fatum	fatum
faueo	favente
faueo	faventem
femina	femina
fenile	fenile
fere	fere
fero	ferens
firmo	fermasti
fermento	fermentatum
fermentum	fermento
ferquidis	ferquide
ferquidis	ferquidem
fessus	fessus
festiuitas	festivitate
festiuitas	festivitatem
fides	fides
fio	fierit
finis	fini
finis	finis
firmus	firmissimo
fleo	flentes
fluo	fluens
fluuius	fluvio
fundamentum	fondamento
sum	fore
sum	foret
foris	foris
forma	forma
formo	formata
formatiuus	formatiua
formo	formatum
forma	forme
forsitan	forsitans
fortis	fortis
fossa	fosse
fraus	fraudem
friuolus	friuola
fruor	fruendi
fruor	fruendum
sum	fuerent
sum	fueret
sum	fuet
fugio	fugienda
fugio	fugio
fumus	fumo
fundo	fundata
fundo	fundatum
funus	funera
sum	futura
sum	futuram
sum	futuri
sum	futuro
sum	futuros
sum	futurum
galata	galat.
gaudeo	gavisi
genesis	gen.
genus	genera
generabilis	generabilibus
generabilis	generabilium
genero	generans
genero	generante
genero	generantem
genero	generanti
genero	generantis
genero	generata
genero	generati
generatiuus	generatiua
generatiuus	generatiuae
genero	generato
genero	generatum
genero	generatus
genus	genere
genus	generis
gigno	genita
gigno	geniti
genitor	genitor
gigno	genitum
gigno	genitus
genus	genus
gero	gerens
gero	gestis
Ghiselfridus	ghiselfridi
gloriosus	gloriosissimi
grauis	graues
grauis	grauia
grauis	grauium
gravo	gravati
grauis	gravissimum
gregorius	gregorium
guberno	gubernandi
guberno	gubernandum
guberno	gubernans
guberno	gubernantis
guberno	gubernatis
gubernatorius	gubernatoria
guberno	guvernandi
guberno	guvernandum
guberno	guvernans
habeo	habenda
habeo	habendam
habeo	habendi
habeo	habens
habeo	habente
habeo	habentem
habeo	habentes
habeo	habenti
habeo	habentia
habeo	habentibus
habeo	habentis
habilitas	habilitas
habeo	habita
habito	habitantes
habito	habitantibus
habito	habitauit
habeo	habito
hic	han
(h)arena	harena
habito	havitare
hebraeus	hebr.
hic	hec
Helvetii	helvetii
heres	herides
hiem(p)s	hiemem
hierarchia	hier.
hic	hius
homo	homenis
omnis	homnem
omnis	homni
omnis	homnia
omnis	homnibus
honestus	honesta
honestas	honestatis
honorabilis	honorabilius
ordo	hordine
hortor	hortatus
hic	huiu
hic	huiusce
humilis	humilis
umor	humorum
hypostasis	hypostases
hypostasis	hypostasi
hypostasis	hypostasim
iacob	iacobus
ibidem	ibidem
itemque	idemque
idest	idest
ieremias	ierem.
ignobilis	ignobiliora
ignoro	ignorans
ignoro	ignorantes
is	iis
illuc	illuc
ille	illut
in	im
immaterialis	immaterialem
immaterialis	immateriales
immaterialis	immaterialibus
immediate	immediate
immerito	immerito
impedio	impediens
impedio	impeditos
impero	imperandi
impero	imperante
imperfecte	imperfecte
imperfectus	imperfectissima
imperfectus	imperfectus
impleo	impleta
impleo	impletum
imprimo	impressa
improbo	improbata
incarno	incarnatus
incendo	incensis
incertus	incertus
incipio	incipiens
inclino	inclinata
incipio	incoepit
inconueniens	inconuenientia
inde	indi
indifferenter	indifferenter
indo	inditum
indiuiduus	indiuidua
indiuidualis	indiuiduales
indiuidualis	indiuiduali
indiuiduo	indiuiduantia
indiuiduo	indiuiduantibus
indiuiduo	indiuiduantur
indiuiduo	indiuiduata
indiuiduo	indiuiduatur
indiuiduo	indiuiduetur
indiuiduus	indiuidui
indiuiduus	indiuiduis
indiuiduus	indiuiduo
indiuiduus	indiuiduorum
indiuiduus	indiuiduum
induco	inducens
induco	inducta
induco	inductae
induco	inductus
induo	indutum
inferus	inferiori
inferus	inferioris
inferus	inferiorum
inferi	inferos
inferus	infimis
inferus	infimum
infirmus	infirma
ingredior	ingressus
ingredior	ingresus
inhabito	inhabitantem
initium	initia
iniuste	iniuste
inibi	inivi
immediate	inmediate
immobilis	inmovile
immobilis	inmovilia
immobilis	inmovilibus
immundus	inmundum
in	inn
inopia	inopia
inordinate	inordinate
impero	inperandi
impero	inperandum
imperator	inperator
imperator	inperatore
imperium	inperii
imperium	inperium
impono	inponere
impossibilis	inpossibile
impono	inposuerunt
impono	inposuisset
impono	inposuit
inquiro	inquirendum
insidiae	insidias
insidiae	insidiis
insigne	insigne
instituo	institutus
instruo	instructi
integer	integra
integer	integro
intellego	intellecta
intellego	intellectae
intellego	intellectam
intellego	intellectas
intellectiuus	intellectiua
intellectiuus	intellectiuae
intellectiuus	intellectiuam
intellectiuus	intellectiuum
intellego	intellectorum
intellego	intelligamus
intellego	intelligantur
intellego	intelligat
intellego	intelligatur
intellego	intelligemus
intellego	intelligenda
intellego	intelligendae
intellego	intelligendam
intellego	intelligendas
intellego	intelligendi
intellego	intelligendo
intellego	intelligens
intellego	intelligente
intellegentia	intelligentiae
intellego	intelligentibus
intellego	intelligentis
intellego	intelligere
intellego	intelligeret
intellego	intelligeretur
intellego	intelliget
intellego	intelligi
intelligibilis	intelligibilis
intellego	intelligimus
intellego	intelligit
intellego	intelligitur
intellego	intelligunt
intendo	intendens
intendo	intendentes
intentiono	intentionare
intentiono	intentionaverimus
intendo	intentum
intendo	intentus
inter	inter
interficio	interfecto
interitus	interitum
interpretor	interpretatum
intra	intra
intro	intrante
intro	intrantes
intro	intrauit
introeo	introeuntes
intueor	intuens
inuenio	inueniatur
inuenio	inueniet
inuenio	inuenimus
inuenio	inuenirentur
inuenio	inueniri
inuenio	inuenit
inuenio	inuenitur
inuenio	inueniuntur
inuenio	inuentus
inuicem	inuicem
inuisibilis	inuisibilia
invitus	invito
iohannes	ioan.
iohannes	ioannes
iohannes	ioannis
iob	iob
ipse	ipsamet
ipse	ipsammet
ipse	ipsei
ipse	ipsemet
irascor	iratus
scribo	iscrivere
israel	israel
Israelitae	israhelitae
eo	iturus
iu	iu
iubeo	iubente
iudico	iudicandi
iudico	iudicandum
iudico	iudicans
iudico	iudicantes
iudico	iudicaturus
iudico	iudicatus
iugum	iugum
iungo	iuncta
ius	iura
iuro	iurandi
iubeo	iussi
iubeo	iussus
iuxta	iusta
iustitia	iustitie
ibi	ivi
ibidem	ividem
laboro	laborandum
lapis	lapidem
lapis	lapides
latus	lateras
latria	latriae
latria	latriam
laudabilis	laudabilior
laus	laudem
laboro	lavorandi
laboro	lavorandum
laboro	lavorare
labor	lavore
lex	lege
lex	legem
lex	legis
leuis	leue
leuis	leuia
leuiticus	leuit.
leuis	leuium
leuo	levando
leuo	levandum
levis	levis
liber	liber
libero	liberati
libere	libere
libere	liberius
liber	libero
libet	libet
libra	libras
licet	licere
littera	lictera
ligo	ligatum
limito	limitata
litus	littora
libellarius	livellario
libellus	livello
libellus	livellum
locum	locas
locus	locho
locopositus	locoposito
loquor	locuti
loquor	locutum
loquor	locutus
loquor	loquendi
loquor	loquendo
loquor	loquens
loquor	loquente
loquor	loquentem
loquor	loquentes
loquor	loquentium
lora	lora
lucas	luc.
lucas	lucae
lux	luce
lux	luci
luna	lune
ly	ly
maius	magias
maius	magii
maius	magio
magis	magis
magister	magister
magnus	magnus
maius	maias
magnus	maiora
magnus	maiore
magnus	maiorem
magnus	maiori
magnus	maioris
magnus	maius
malus	malam
malus	malus
mandatum	mandato
manduco	manducandum
mane	mane
maneo	manens
maneo	manente
maneo	manentem
maneo	manentibus
manichaeus	manichaei
manichaeus	manichaeorum
manifestus	manifesta
manifeste	manifeste
manifestus	manifestu
manifestus	manifestus
manus	mano
mare	mare
Martius	martias
Martius	martii
Martius	martio
massaricius	massaricia
massaricius	massaricias
massaricius	massaricie
massaricius	massariciis
massarius	massario
materia	materie
matthaeus	matth.
maturus	matura
mature	maturius
magnus	maxima
magnus	maximam
magnus	maximas
magnus	maximis
magnus	maximo
magnus	maximum
medio	mediante
medio	mediantibus
meus	mee
egoipse	meipsum
melioro	meliorata
melioro	melioratam
bonus	meliorem
bonus	meliores
memoro	memorata
memoro	memoratam
memoro	memorate
memoratiuus	memoratiua
memoria	memoria
memoria	memorie
minime	menime
mensa	mensa
mensis	mensis
mensura	mensura
mensuro	mensurata
mensuro	mensuratas
meridies	meridie
meritum	meriti
met	met
metaphysicus	metaph.
metaphorice	metaphorice
metaphysicus	metaphys.
metaphysicus	metaphysicae
Metellus	metellus
metuo	metuens
ego	michi
militaris	militaris
parvus	minimo
minister	minister
ministerialis	ministeriale
ministerialis	ministerialem
ministerialis	ministeriales
minoro	minoratum
miror	mirati
miror	miratus
miser	miser
misereor	miserere
misereor	misertus
mitto	missa
missa	missarum
missus	missu
missus	misus
mitto	mittens
mitto	mittentes
misceo	mixta
misceo	mixti
mixtio	mixtio
misceo	mixto
misceo	mixtorum
misceo	mixtum
misceo	mixtus
mina	mnas
modo	modo
moleste	moleste
molinum	molino
mollis	mollis
munimen	monimina
monstrum	monstra
moror	morati
morior	moriendi
mos	moris
morior	morituri
morior	moriturus
motiuus	motiua
motiuus	motiuae
motiuus	motiuam
motiuus	motiuum
motor	motor
moueo	moueatur
moueo	mouendo
moueo	mouens
moueo	mouent
moueo	mouente
moueo	mouentes
moueo	mouentia
moueo	mouentibus
moueo	mouentis
moueo	mouentur
moueo	mouere
moueo	moueri
moueo	mouet
moueo	mouetur
mobilis	movile
mobilis	moviles
mobilis	movilia
mobilis	movilibus
moyses	moysen
moyses	moyses
moyses	moysi
multus	multa
multus	multae
multiplex	multiplices
multipliciter	multipliciter
multus	multus
mundualdus	mundualdo
mundus	mundus
munus	munera
muto	mutata
nanciscor	nactus
natiuitas	natiuitate
natiuitas	nativitatem
natura	natura
natura	naturarum
natura	naturas
natura	nature
natura	naturis
nauis	nauem
navis	navis
necesse-esse	necesse-esse
nego	negandum
neglegentia	neglegentia
nepos	nepus
nestorius	nestorii
nestorius	nestorium
neu	neu
neue	neue
niger	niger
nihil	nil
nimium	nimium
nisi	nisi
nobilis	nobilior
nobilis	nobiliora
nobilis	nobiliorem
nobilis	nobiliores
nobilis	nobilioris
nobilis	nobilissima
nobilis	nobilissimum
nobilitas	nobilitas
nobilitas	nobilitate
nobilitas	nobilitatis
nos	nobiscum
nociuus	nociuum
nomen	nom.
numerus	nomero
nomen	nomina
nomino	nominata
nomino	nominato
nonae	nonas
nos	nos
noster	nostre
nutrimen	notrimina
nouus	nouae
nouus	nouam
nosco	nouit
nouus	nouo
nouus	nouum
nouembrius	novembrio
nouember	novembris
nos	novis
novissimus	novissimus
num	num
nuntio	nuntiata
nuntio	nuntiatum
nuntius	nuntii
nuptiae	nuptias
nuptiae	nuptiis
nos	nus
nutritiuus	nutritiua
nutritiuus	nutritiuae
nutritiuus	nutritiuam
oboedientia	obedientia
oboedientia	obedientiae
obiectum	obiecto
obicio	obiiciebantur
obicio	obiiciebatur
obicio	obiicitur
obliquus	obliqua
obseruo	obseruari
obses	obsides
obsto	obstante
obuio	obuiat
obuenio	obvenit
obviam	obviam
obuenio	obvinet
hic	oc
occulte	occulte
occupo	occupatis
occupo	occupato
octauus	octavo
octobrius	octubrio
october	octubris
hodiernus	odierna
odium	odio
offensa	offensa
offero	offerrimus
offersio	offersionis
offero	offeruerat
offero	offerui
offero	offeruimus
offero	offeruit
officium	offitium
oliuetum	olivetis
oliuetum	oliveto
oliua	olivis
omnis	omniam
omnis	omnium
onus	onera
operor	operandi
operor	operando
operor	operandum
operor	operans
operor	operante
operor	operantes
operor	operantibus
operor	operantis
operor	operata
operatiuus	operatiua
operatiuus	operatiuam
operatiuus	operatiuis
operor	operatum
operor	operatus
opus	operi
opus	operis
oportet	oporteat
oportet	oportebat
oportet	oportebit
oportet	oportere
oportet	oporteret
oportet	oportuisset
opportunus	oportum
opinio	oppinio
oppono	opposita
oppono	oppositorum
bonus	optima
bonus	optimam
bonus	optimi
bonus	optimo
oraculum	orachuli
oraculum	orachulum
oro	orans
oro	orantes
oro	orate
ordino	ordinandi
ordino	ordinandum
ordino	ordinata
ordino	ordinatae
ordino	ordinatam
ordino	ordinati
ordino	ordinatis
ordino	ordinatorum
ordino	ordinatum
ordino	ordinatus
ordino	ordinauit
ordo	ordinem
ordo	ordines
organum	organis
organizo	organizatum
origenes	origenis
orior	oritur
orior	orta
hortale	ortalia
hortus	ortis
hortus	orto
osanna	osanna
ostendo	ostendendum
ostendo	ostendens
ostendo	ostensa
ostendo	ostensum
otium	oti
ovum	oua
ouis	oues
ouum	ovas
obitus	ovitum
publicus	p
pax	pacem
pacificus	pacifico
palam	palam
parabola	parabolis
paro	parate
par	pares
parium	pario
pariter	pariter
pars	parti
partim	partim
pars	partis
paruus	paruum
pascuum	pascua
pascuum	pascuis
patior	passi
passiuus	passiua
passiuus	passiuae
passiuus	passiuam
passiuus	passiuas
passiuus	passiuis
passiuus	passiuo
passiuus	passiuum
patior	passum
pater	patrum
paucus	pauciores
paucus	paucioribus
pauper	pauper
pauper	pauperes
pecco	peccandi
pecco	peccando
pecco	peccante
pecco	peccantibus
peccatum	peccatis
peccator	peccator
pecco	peccauerunt
pecco	peccauit
pes	pedem
peioro	pegiorata
peioro	pegioratam
peioro	pegiorate
peioro	pegioratis
peioro	pegioretur
peioro	peiorata
peioro	peioratas
pelagianus	pelagianorum
poena	penam
penes	penes
penitus	penitus
percipio	percepta
percipio	perceptam
perexsoluo	peresolvendum
perexsoluo	perexolvendum
persoluo	perexolvere
perfecte	perfecte
perfectus	perfectissima
perfecte	perfectissime
perficio	perficiens
permitto	permissum
permoveo	permoti
persequor	persecutus
perseuero	perseuerandum
perseuero	perseuerare
persoluo	persolvendum
persoluo	persolvere
persona	persona
persona	personas
persona	persone
perspicio	perspecta
persuadeo	persuasum
pertineo	pertenens
pertineo	pertenente
pertineo	pertenentem
pertineo	pertenentes
pertineo	pertenentibus
pertineo	pertenere
pertineo	pertenuit
perterreo	perterriti
perterreo	perterritos
pertica	perticha
pertineo	pertinens
pertineo	pertinente
pertineo	pertinentem
pertineo	pertinentes
pertineo	pertinentibus
peruenio	peruenerit
peruenio	perueniant
peruenio	perueniat
peruenio	perueniatur
peruenio	perueniet
peruenio	peruenimus
peruenio	peruenire
peruenio	perueniri
peruenio	peruenit
peruenio	peruenitur
peruenio	perueniunt
peruenio	pervenerit
peto	petens
peto	petenti
peto	petentibus
petia	petiam
petia	petias
petia	petie
petium	petio
petiola	petiole
petiolum	petiolo
petrus	petr.
petrus	petri
philippensis	philip.
philippensis	philipp.
photinus	photinus
physicus	phys.
physicus	physic.
pius	piissimo
Pilatus	pilatus
pius	pius
plato	plato
platonicus	platonici
platonicus	platonicorum
plato	platonis
plene	plenius
plerusque	plerisque
plebs	pleve
multus	plura
multus	plures
multus	pluribus
multus	plurima
multus	plurimae
multus	plurimas
multus	plurimi
multus	plurimis
multus	plurimos
multus	plurimum
multus	pluris
multus	plurium
multus	plus
paenitentia	poenitentiae
paenitentia	poenitentiam
paeniteo	poenitentis
polliceor	pollicitus
pondus	pondo
pondus	pondum
pono	ponenda
pono	ponendi
pono	ponendum
pono	ponentes
pono	ponentium
pons	pontis
porta	porta
porto	portans
post	pos
pono	posita
pono	positae
pono	positam
pono	positarum
pono	posite
pono	positis
pono	posito
pono	positum
pono	positus
postquam	posquam
possideo	possedendi
possideo	possedendum
possideo	possessa
possideo	possidendi
possideo	possidendum
possibilitas	possivilitate
posteaquam	postea
posterus	posteriora
posterus	posteriores
posterus	posteriorum
postremo	postremo
postulo	postulantes
potentia	potentia
calendar	pr
praecedo	praecedens
praecedo	praecedentem
praecedo	praecedenti
praecedo	praecedentibus
praecedo	praecedentium
praedestino	praedestinauit
praedico	praedicans
praedicatum	praedicati
praedico	praedicta
praedico	praedictae
praedico	praedictam
praedico	praedictarum
praedico	praedictas
praedico	praedicti
praedico	praedictis
praedico	praedicto
praedico	praedictorum
praedico	praedictum
praedico	praedictus
praeexisto	praeexistens
praeexisto	praeexistente
praeexisto	praeexistentem
praeexisto	praeexistenti
praeexisto	praeexistere
praeexisto	praeexistit
praeexisto	praeexistunt
praeiaceo	praeiacente
praeiaceo	praeiacentem
praemitto	praemissa
praemitto	praemissae
praemitto	praemissas
praemitto	praemissis
praesentia	praesentiam
praetereo	praeteriti
praetermitto	praetermissa
praeuenio	praeueniat
praeuenio	praeuenitur
prae	pre
precaria	precarie
praecedo	precedit
praeceptum	preceptum
praedictus	predicta
praedictus	predictae
praedictus	predictam
praedictus	predictas
praedictus	predicte
praedictus	predicti
praedictus	predictis
praedictus	predicto
praedictus	predictos
praedictus	predictum
praedictus	predictus
praesum	preesse
praefatus	prefata
praefatus	prefatam
praefatus	prefate
praefatus	prefati
praefatus	prefatis
praefatus	prefato
praefatus	prefatum
praefinitus	prefinito
praenominatus	prenominata
presbyter	presbiter
presbyter	presbiteri
presbyter	presbiteris
presbyter	presbitero
presbyter	presbiterum
praesens	presentem
praesens	presenti
praesentia	presentia
praesumo	presumserimus
praesumo	presumserit
praeter	preter
praeterea	preterea
praeualeo	prevaluit
praeuideo	prevideo
praeuideo	previderunt
praeuideo	previdimus
praeuideo	previdit
pridie	pridiem
primitiae	primitiae
principium	principium
priuo	priuari
priuo	priuatum
priuo	priuatur
priuo	priuetur
priusquam	prius
priuo	privato
priuo	privatum
probo	probandum
probo	probatum
probe	probe
procedo	procedens
procedo	procedente
procedo	procedentes
produco	producendos
produco	producendum
produco	producens
produco	producta
produco	productae
profecto	profecto
proficiscor	profectus
profero	proferentis
prohibeo	prohibens
profero	prolata
prope	prope
propheta	prophetis
propinquus	propinquiora
propinquus	propinquiores
propitius	propitio
proportiono	proportionata
proportiono	proportionatam
proportiono	proportionatum
proportiono	proportionatus
propono	proposita
prouerbium	prou.
prouenio	proueniant
prouenio	proueniat
prouenio	proueniens
prouenio	prouenire
prouenio	prouenit
prouenio	proueniunt
prouerbium	prouerb.
prouideo	prouideatur
prouidentia	prouidentiae
prouidentia	prouidentiam
prouideo	prouidentis
prouideo	prouidet
prouideo	prouidetur
prouideo	prouidit
provincia	prouinciis
prouideo	prouisa
prouisor	prouisores
prouideo	prouisum
prouidentia	providentia
prudentia	prudentia
publicus	pubblica
publicus	publicae
publicus	publicam
publicus	publicis
puella	puella
puer	puer
puer	pueris
pugno	pugnandi
pugno	pugnatum
pello	pulsis
puta	puta
puteus	puteo
quaestio	qu.
quicumque	quacumque
quicumque	quaecumque
quilibet	quaelibet
quaero	quaerenda
quaero	quaerendum
quaero	quaerens
quaero	quaerentes
quaestio	quaest.
quaestiuncula	quaestiunc.
quilibet	qualibet
qualiscumque	qualicumque
quilibet	qualive
quilibet	qualivet
quicumque	quamcumque
quidam	quamdam
quilibet	quamlibet
quamquam	quamquam
quamuis	quamuis
quandoque	quandoque
quisque	quaque
qui	quas
quadraginta	quatraginta
quicumque	quecumque
quidam	quedam
quilibet	quelibet
quidam	quemdam
quilibet	quemlibet
quisque	queque
querela	querella
quaero	querenda
quaero	quesierimus
quaero	quesierit
quaero	quesiero
quaestio	questio
quaestio	questionem
quaestio	questionis
quilibet	quibuslibet
quisque	quibusque
quisquis	quicquid
quisquis	quicquit
quis	quid
quies	quies
quiesco	quiescens
quieto	quietatur
quinquaginta	quinquagenta
quicumque	quiscunque
quilibet	quislibet
quicumque	quocumque
quicumque	quocunque
quicumque	quodcunque
quilibet	quolibet
quilibet	quolive
quisquis	quoquo
quidam	quorumdam
cottidie	quotidie
rapio	rapta
rare	rarius
realiter	realiter
recedo	recedente
recipio	recepta
recipio	receptae
recipio	receptam
recessus	recessus
recipio	recipiendam
recipio	recipiendi
recipio	recipiendum
recipio	recipiens
recipio	recipiente
recipio	recipientis
recipio	recipissem
recordor	recordati
recordor	recordatus
recta	recta
recte	recte
rego	rectis
reddo	reddendum
redemptio	redemtione
reddo	redere
reduco	reductus
refero	referenda
refero	referendum
rex	rege
rego	regendi
rego	regendum
rego	regentis
rex	reges
regina	regine
regnum	regna
regno	regnante
regredior	regressus
regula	regula
relaxo	relassaverimus
relatiuus	relatiua
refero	relatum
relaxo	relaxsaverimus
relego	relecta
relego	relectum
relinquo	relicta
relinquo	relictis
relinquo	relicto
relinquo	relictum
reliquus	reliqui
reliquus	reliquo
remaneo	remanente
remisse	remissius
remoueo	remotum
remoueo	remoueri
remoueo	remouetur
repleo	repleti
repleo	repletus
repugno	repugnans
reputo	reputatum
resideo	resede
reseruo	reservamus
reseruo	reservasti
reseruo	reservavi
reseruo	reservo
resideo	residde
resideo	residendum
respondeo	respondens
respondeo	respondentes
resulto	resultans
resurgo	resurgens
resurgo	resurgentes
resurgo	resurgentibus
resurgo	resurgentis
resurgo	resurgentium
retineo	retinenda
retollo	retollere
retollo	retolli
retraho	retragi
reuelo	reuelantur
reuelo	reuelata
reuelo	reuelauit
reuerentia	reuerentiam
res	ris
riuus	rivo
rogo	rogatus
rogo	rogavet
romanus	rom.
roboro	rovorandum
sabellius	sabellius
saepe	saepe
saeuus	saeua
sala	sala
saltem	saltem
saluus	saluos
salus	salutem
sanctifico	sanctificata
sapientia	sap.
sapienter	sapienter
saturo	saturati
scabinus	scabino
scandalizo	scandalizati
scabinus	scavino
scabinus	scavinu
scabinus	schabinis
scabinus	schabino
scabinus	schabinus
scabinus	schavinu
scio	sciendum
scio	sciens
scio	scientes
scientia	scientia
scio	scientis
scribo	scribendo
scribo	scribendum
scribo	scripta
scribo	scriptam
scribo	scriptum
scriptura	scriptura
scriptura	scripturae
scriptura	scripturam
scriptura	scripturarum
scriptura	scripturas
scriptura	scripturis
scribo	scrivere
scrutor	scrutatur
saeculum	seculo
sui	secum
secundario	secundario
secundum	secundum
sequor	secuta
sequor	secutae
sequor	secuti
sequor	secutus
sedeo	sedens
sedeo	sedentem
sedeo	sedentes
sedeo	sedentibus
sedeo	sedentis
sedes	sedes
seipsum	seipsa
seipsum	seipsam
seipsum	seipsas
seipsum	seipsis
seipsum	seipso
seipsum	seipsos
seipsum	seipsum
semetipsum	semetipso
semetipsum	semetipsum
semouens	semoventibus
senex	senex
senex	seniores
senex	senioribus
senex	seniorum
sensitiuus	sensitiua
sensitiuus	sensitiuae
sensitiuus	sensitiuam
sensitiuus	sensitiuis
sensitiuus	sensitiuum
sensus	sensus
sentio	sentiendo
sentio	sentiendum
seu	seo
separo	separata
separo	separatae
separo	separatam
separo	separatarum
separo	separatas
separo	separatum
separo	separatus
septem	septe
septembrius	septembrio
septiens	septies
sepelio	sepultus
sequor	sequens
sequor	sequentes
sequor	sequentibus
sero	serenda
serenus	serenissimo
serenus	serenissimus
seruo	seruant
seruo	seruat
seruo	seruatur
seruo	seruetur
seruus	serui
servus	servi
servio	servientes
servus	servus
siccus	sicco
sicut	sicu
sicut	sicuti
signum	signa
signo	signata
signo	signati
significo	significandi
significo	significandum
significo	significata
significo	significatae
significo	significatam
sum	siit
syllogismus	sillogismi
silua	silva
silua	silve
simulo	similatur
similis	similis
similiter	similiter
simplex	simplex
simpliciter	simpliciter
sinapi	sinapis
sine	sine
sextarius	sistario
sextarius	sistariorum
sino	sita
sino	sitae
sino	sitas
sino	sito
siue	siue
socrates	socrate
socrates	socrates
solus	sola
solidus	soledos
solidus	soledum
sollemne	solemnia
solus	soli
soleo	solitum
sollemne	sollemnia
sollicitus	sollicitus
solus	solo
soluo	soluere
soluo	soluit
soluo	soluitur
somnium	somnia
specifico	specificatur
speculatiuus	speculatiua
speculatiuus	speculatiuarum
speculatiuus	speculatiuas
speculatiuus	speculatiuis
spero	sperans
spiritualis	spiritualis
spolium	spolia
spondeo	spondimus
stagnum	stagnum
sto	stans
sto	stantem
sto	stantes
sto	state
statim	statim
stirpetum	sterpeto
studium	studio
studiose	studiose
stultus	stultus
suus	suam
successor	subcessores
successor	subcessoribus
subscribo	subcripsi
subicio	subiciendo
subiectum	subiecto
subicio	subiiciat
subicio	subiicitur
subicio	subiiciuntur
subscribo	subiscripsi
tollo	sublatis
tollo	sublato
subscribo	subscribsi
subsistentia	subsistentiam
substantia	substantie
substantiuus	substantiua
subtraho	subtracta
subtraho	subtragi
successor	sucessoribus
suus	sue
sufficienter	sufficienter
suus	suis
sumo	sumens
summus	summae
summe	summe
sundrialis	sundriale
sundrialis	sundrialem
sub	sup
successor	supcessoribus
super	super
superimpono	superinponere
superimpono	superinposuerimus
superi	superos
superuenio	superueniens
suppositum	suppositi
suppositum	suppositum
superior	suprema
superior	supremae
superior	supremi
subscribo	supscripsi
surgo	surgens
susceptiuus	susceptiua
susceptiuus	susceptiuum
successor	suscessoribus
suscipio	suscipiendam
suscipio	suscipiendum
suscito	suscitauit
subscribo	suscripsi
suspicor	suspicatus
sustineo	sustinens
synodus	synodo
tamquam	tanquam
tarde	tardius
tardus	tardus
telum	telis
tumetipse	temetipsum
tempto	temptantes
tendo	tendens
tendo	tendentes
teneo	tenendum
teneo	tenens
teneo	tenente
teneo	tenentem
teneo	tenentes
teneo	teneri
tenuis	tenuis
tenor	tenure
Terentia	terentia
termino	terminata
terra	terre
territorium	territurio
thessalonicensis	thess.
tu	tibi
timotheus	tim.
timeo	timendum
timeo	timens
timeo	timentes
tenor	tinore
tu	tivi
tollo	tollendum
tondeo	tonso
trado	tradedi
trado	tradedit
trado	tradita
trado	traditam
trado	traditis
trado	traditum
trado	traditus
traho	trahens
transeo	transeundi
transeo	transeuntes
transigo	trasacto
tribunal	tribunali
tributum	tributum
trecenti	tricentos
tricesimus	trigisimo
trinitas	trin.
tripliciter	tripliciter
triumphus	triumpho
truncus	trunco
turba	turba
turbo	turbati
turpis	turpis
turpiter	turpiter
uaco	uacat
uaco	uacet
uado	uade
ualeo	ualent
uanus	uanum
uario	uariantur
uario	uariat
uario	uariatur
uarius	uariis
uua	uba
hic	uc
ut	ud
ue	ue
uegetabilis	uegetabilem
uel	uel
uolo	uelit
uolo	uelle
uolo	uellet
uelut	uelut
uenereus	uenereis
uenereus	uenereorum
uenio	uenerit
uenio	uenerunt
uenio	ueni
uenia	ueniam
uenio	ueniet
uenio	uenire
uenio	uenit
uerbum	uerba
uerbum	uerbi
uerbum	uerbis
uerbum	uerbo
uerbum	uerborum
ueritas	ueritate
ueritas	ueritati
ueritas	ueritatis
uertex	uertice
uerus	uerus
uestimentum	uestimento
uester	uestra
uester	uestrae
uester	uestri
uester	uestris
uia	uiae
uia	uiam
uia	uiarum
uideo	uideantur
uideo	uideatur
uidelicet	uidelicet
uideo	uidemus
uideo	uidendam
uideo	uidendi
uideo	uidendo
uideo	uidendum
uideo	uidens
uideo	uident
uideo	uidentes
uideo	uidentium
uideo	uidentur
uideo	uidere
uideo	uideri
uideo	uiderunt
uideo	uidet
uideo	uidete
