Agip	AGIP
derivát	derivátu
derivát	deriváty
derivát	derivátů
desetiletí	desetiletí
deskriptor	deskriptorů
detekce	detekci
detektor	detektoru
detektor	detektory
detektor	detektorů
deterministický	deterministické
devalvace	devalvaci
developer	developeři
devítiletý	devítileté
devítiměsíční	devítiměsíční
devítičlenný	devítičlenné
diagnóza	diagnózu
dialektický	dialektické
diamantový	diamantová
diamant	diamantů
dielektrikum	dielektrikem
dietní	dietních
diferencovaně	diferencovaně
difundovat	difundují
dik	dikové
diktátor	diktátorovi
dik	dikům
dimenze	dimenzi
dimenze	dimenzí
Dinkins	dinkins
dinosaurus	dinosauři
dinár	dináry
dinár	dinárů
dioda	diody
diplomacie	diplomacii
diplomat	diplomat
diplomat	diplomata
diplom	diplomy
disciplína	disciplín
disciplína	disciplínou
disciplína	disciplínu
disciplína	disciplínách
diskontinuita	diskontinuity
diskový	diskové
diskový	diskových
diskriminace	diskriminaci
diskvalifikovaný	diskvalifikován
displej	displeje
distinktivní	distinktivních
distribuce	distribucí
distribuovaný	distribuován
distribuovaný	distribuovány
distribuovat	distribuuje
div	div
diverzifikace	diverzifikaci
diverzifikovaný	diverzifikované
dividenda	dividendách
divit	divit
divoký	divokou
divoký	divoké
divák	divákovi
dlažba	dlažby
dlužný	dlužni
dlužný	dlužnou
dlužný	dlužné
dlužní	dlužních
dlužník	dlužníka
dlužník	dlužníky
dlužník	dlužníků
dlužný	dlužných
den	dny
den	dní
dno	dně
dobrý	dobrý
dobytí	dobytí
dobývat	dobývat
doběhnout	doběhnout
dochovat	dochovaly
dochovaný	dochované
docházet	docházet
docházka	docházku
docházka	docházky
dodat	dodají
dodat	dodali
dodat	dodalo
dodatečný	dodatečnou
dodatečný	dodatečná
dodatečný	dodatečné
dodatečný	dodatečného
dodavatelský	dodavatelská
dodržet	dodržel
dodržení	dodržení
dodržovat	dodržoval
dodržovat	dodržovali
dodržovat	dodržovat
dodržování	dodržováním
dodržovat	dodržují
dodržet	dodrží
dodaný	dodána
dodaný	dodáno
dodaný	dodány
dodání	dodáním
dodávající	dodávající
dodávaný	dodávané
dodávaný	dodávaných
dodávat	dodávat
dodělat	dodělat
dohadovat	dohadovat
dohadování	dohadování
dohlížet	dohlížel
dohlížet	dohlíží
dohodce	dohodci
dohodnout	dohodl
dohodnout	dohodnou
dohodnout	dohodnout
dohodnutý	dohodnuto
dohánět	dohánět
dojet	dojel
dojet	dojeli
dojíždět	dojíždí
dojíždějící	dojíždějící
dojíždějící	dojíždějících
dojíždět	dojížděl
dojíždět	dojížděla
dojíždět	dojížděli
dokazovat	dokazovat
dokončený	dokončen
dokončený	dokončena
dokončený	dokončeno
dokončený	dokončeny
dokončení	dokončení
dokončení	dokončením
dokončovací	dokončovacích
dokončovat	dokončují
doktor	doktor
doktor	doktore
dokumentace	dokumentaci
dokumentace	dokumentací
dokázaný	dokázáno
doložený	doloženo
doložit	doložit
doložka	doložku
doložka	doložky
domlouvat	domlouvat
domnívat	domnívat
domněnka	domněnce
domněnka	domněnky
domorodec	domorodců
donedávna	donedávna
donucený	donucen
donucený	donucena
donutit	donutit
dopadený	dopaden
dopadnout	dopadnout
dopisovatel	dopisovatel
doplnit	doplnit
doplněný	doplněn
doplněný	doplněny
doplněk	doplňkem
doplněk	doplňku
doplněk	doplňky
doplněk	doplňků
doplňování	doplňování
doplňující	doplňující
doporučený	doporučeno
doporučení	doporučení
doporučit	doporučit
dopravce	dopravcem
dopravce	dopravci
dopravce	dopravců
doprovázející	doprovázející
doprovázený	doprovázen
doprovázet	doprovází
dopředu	dopředu
dopřaný	dopřáno
dorostenka	dorostenky
dorost	dorostu
doručený	doručeny
doručení	doručení
dosah	dosahem
dosahování	dosahování
dosahující	dosahující
dosažený	dosažen
dosažený	dosaženo
dosažení	dosažení
dosažení	dosažením
dospívat	dospívají
dospívající	dospívající
dospívající	dospívajících
dospívat	dospívá
dostatečný	dostatečnou
dostatečný	dostatečné
dostavit	dostavil
dostavit	dostavila
dostavit	dostavili
dostačující	dostačující
dostávat	dostávat
dosáhnout	dosáhnout
dotace	dotacemi
dotace	dotaci
dotace	dotacích
dotazník	dotazníku
dotknout	dotknout
dotovaný	dotované
dotovaný	dotovaných
dotvářet	dotváří
dotáhnout	dotáhl
dotáhnout	dotáhla
dotázaný	dotázán
doufat	doufat
dovezený	dovezeno
dovolený	dovoleno
dovozce	dovozcem
dovozce	dovozci
dovozce	dovozců
dovršení	dovršení
dovážející	dovážející
dovážený	dovážené
dovážet	dovážet
dovést	dovést
dovézt	dovézt
dovědět	dovědět
Dow	dow
Dozen	dozen
doznat	doznal
draft	draftu
dramaturg	dramaturg
drift	driftu
drnovický	drnovický
druhotný	druhotné
druhotný	druhotném
družstevník	družstevníci
družstevník	družstevníků
drát	drátě
držba	držby
držený	držena
držený	drženy
držení	držení
držet	držet
držitel	držiteli
držitel	držitelé
Dublin	dublin
dukelský	dukelská
duální	duálního
Dušanbe	dušanbe
duševně	duševně
dvacítka	dvacítky
dvanáctiletý	dvanáctileté
dvanáctiměsíční	dvanáctiměsíční
dvanáctka	dvanáctky
dvojí	dvoje
dvojí	dvojí
dvojí	dvojího
dvojí	dvojím
dvorek	dvorek
dvoreček	dvorečku
dvorek	dvorku
dvorní	dvorní
dvouměsíční	dvouměsíční
dvoupatrový	dvoupatrové
dvůr	dvoře
dvířka	dvířka
dynamika	dynamice
dynamika	dynamikou
dynamika	dynamiky
dálniční	dálničních
dát	dám
daný	dána
daný	dáno
daný	dány
dárce	dárce
dát	dát
dávající	dávající
dávaný	dávána
díky	díky
dílčí	dílčích
dílčí	dílčího
dílčí	dílčím
dírka	dírek
dívat	dívat
dívenka	dívenka
děj	děj
dělat	dělat
dělení	dělení
dělnice	dělnice
dělnictvo	dělnictva
dělostřelectvo	dělostřelectva
dělávat	dělávala
dělávat	dělávalo
děrovaný	děrované
děrový	děrová
děvčátko	děvčátko
dřeň	dřeně
dřevina	dřevin
dřívějšek	dřívějška
důchodce	důchodce
důchod	důchodem
důchodkyně	důchodkyně
důraz	důrazu
důvodný	důvodné
džíp	džípem
džíp	džípu
Eda	eda
editor	editoru
editor	editory
Edward	edward
efektivita	efektivitu
efektivita	efektivity
ekologie	ekologií
ekolog	ekology
ekolog	ekologů
ekonomie	ekonomii
ekonomka	ekonomka
ekvitní	ekvitního
ekvivalent	ekvivalentu
ekvivalent	ekvivalentů
elektrizace	elektrizaci
elektronický	elektronické
elektronka	elektronky
elektrospotřebič	elektrospotřebičů
element	elementy
element	elementů
elita	elit
elita	elitu
elita	elity
emancipace	emancipaci
embryo	embrya
emigrant	emigrant
emise	emisí
emise	emisích
emise	emisím
emitent	emitenti
emitent	emitentů
emitovaný	emitovaných
energizující	energizující
enkláva	enklávě
enzym	enzymu
epoxid	epoxidů
Erben	erben
erupce	erupcí
estetika	estetiku
estetika	estetiky
etapa	etap
etiketa	etikety
etika	etiku
evakuace	evakuaci
exilový	exilové
exodus	exodu
experimentování	experimentování
expertíza	expertizy
expert	experty
exponent	exponentu
exponovaný	exponován
exponát	exponáty
exportér	exportéři
expozice	expozic
expozice	expozicí
extraliga	extralize
extremista	extremisté
extrém	extrémy
fabrika	fabriku
fakt	fakt
fakt	faktech
fakt	faktem
faktor	faktoru
faktor	faktory
faktor	faktorům
fanatismus	fanatismu
farmář	farmář
favorit	favoritů
faxový	faxové
faxový	faxových
fašista	fašisté
Federal	federal
feudalizmus	feudalismu
Fidel	fidel
figura	figur
figura	figuru
filharmonie	filharmonii
Filip	filip
filipínština	filipínštiny
filiálka	filiálek
filosofický	filosofické
filozof	filozofů
filtr	filtrem
filtr	filtru
financovaný	financované
financovaný	financovaných
financovaný	financován
financovaný	financována
financovaný	financovány
financování	financování
financování	financováním
financující	financující
finančník	finančníci
fiskální	fiskálních
fiskální	fiskálního
fiskální	fiskálním
fixace	fixaci
fixovaný	fixovány
Flajšman	flajšman
flexibilita	flexibilitu
flotila	flotilu
flotila	flotily
focený	focena
focený	foceno
focený	focené
folklorizmus	folklorismu
folklor	folkloru
folklórní	folklórní
folklórní	folklórních
folkový	folkové
fond	fondům
foném	fonémy
formulace	formulací
formule	formuli
formulování	formulování
formule	formulí
fosilní	fosilních
fotit	fotit
fotograf	fotograf
fotografovaný	fotografovaná
fotografovaný	fotografované
fotografovat	fotografovat
fotografování	fotografování
foton	fotonu
Fournier	fournier
Francis	francis
Francois	francois
frank	francích
frank	franků
František	františek
frekvenční	frekvenčním
fronta	frontách
fungování	fungování
Fučík	fučík
fyzik	fyzikové
fólie	fólii
fólie	fólií
fúze	fúzemi
fúze	fúzi
fúze	fúzí
fúze	fúzích
galon	galonů
galérie	galérii
game	gamu
garance	garanci
garantovaný	garantované
garantovaný	garantovaných
gardový	gardové
Gary	gary
gen	genech
generovat	generuje
generátor	generátory
genom	genomu
gen	genu
gen	geny
gen	genů
geodézie	geodézii
geofyzikální	geofyzikálních
George	george
gestapo	gestapa
glasnost	glasnosti
Glass	glass
golf	golfu
Gonzalez	gonzalez
goodwill	goodwillu
grafika	grafiku
grafika	grafiky
graf	grafy
graf	grafů
grant	grantu
grant	granty
grant	grantů
granule	granule
grilování	grilování
gril	grilu
grémium	grémiu
Guber	guber
gólman	gólmana
hadr	hadrů
Hana	hana
handicapovaný	handicapované
handicapovaný	handicapovaných
hardware	hardwaru
Harry	harry
hasič	hasič
havarovat	havaroval
havarovat	havarovalo
Havlena	havlena
hašený	hašeného
HealthVest	healthvest
helikoptéra	helikoptér
heroin	heroinu
historik	historici
historik	historika
historik	historikové
historik	historiky
historik	historiků
hit	hity
hlas	hlas
hlasatel	hlasatel
hlasatel	hlasatelé
hlasovací	hlasovacího
hlasovací	hlasovacím
hlasování	hlasování
hlavně	hlavně
hledající	hledající
hledat	hledat
hledání	hledání
hledět	hledět
hloubkový	hloubkovou
hloubkový	hloubkové
hlubinný	hlubinné
hlubinný	hlubinného
hlubinný	hlubinných
hlásit	hlásit
hlávka	hlávky
hlášený	hlášena
hlášený	hlášeny
hlášení	hlášení
hlídání	hlídání
hmotový	hmotové
hnojivo	hnojiv
hnojivo	hnojiva
hnout	hnout
hnutí	hnutí
hodinky	hodinek
hodit	hodit
hodlat	hodláme
hodný	hodno
hodnocený	hodnocen
hodnocený	hodnocena
hodnocený	hodnoceno
hodnocený	hodnocenou
hodnocený	hodnoceny
hodnocený	hodnocené
hodnocení	hodnocení
hodnocený	hodnocených
hodnotící	hodnotící
hod	hodu
hokejista	hokejisty
holka	holce
holdingový	holdingovou
holdingový	holdingová
holdingový	holdingové
holding	holdingu
hůl	holí
holý	holýma
homologace	homologaci
honem	honem
hongkongský	hongkongská
honorovaný	honorován
hon	hony
horizont	horizontem
horizont	horizontu
hornický	hornické
horolezec	horolezec
hospitalizovaný	hospitalizován
hospodařící	hospodařící
hospodářka	hospodářka
hospůdka	hospůdka
hospůdka	hospůdky
hostující	hostující
hotově	hotově
hotýlek	hotýlku
houslista	houslista
Howard	howard
hořce	hořce
hořlavý	hořlavé
hořlavý	hořlavých
hořák	hořáky
hrabě	hrabě
Hradec	hradec
hradlo	hradla
hradlo	hradlem
hrad	hradě
hranol	hranoly
hraněný	hraněné
hrazený	hrazenou
hrazený	hrazeny
hrazený	hrazené
hrdina	hrdina
hromadění	hromadění
hromadění	hromaděním
hromosvod	hromosvodem
hrozit	hrozit
hrávat	hrávala
hrávat	hrávali
hráz	hráz
houba	hub
humor	humoru
hustě	hustě
hybnost	hybnosti
hygienik	hygienici
hygiena	hygienu
hygiena	hygieny
hynout	hynou
hypnotizovaný	hypnotizovaným
hypnotizér	hypnotizéra
hypotekární	hypotekární
hypotekární	hypotekárních
hypotéza	hypotéz
hypotéza	hypotézy
hádat	hádat
házet	házet
hýbat	hýbat
hříbek	hříbky
hřídel	hřídele
hůlka	hůlky
IBM	ibm
Icahn	icahn
identifikovaný	identifikována
identifikující	identifikující
ideolog	ideologové
ideolog	ideologů
ideální	ideálních
ideální	ideálního
ideální	ideálním
ideál	ideálu
ideál	ideály
ignorování	ignorování
imigrant	imigranty
impedance	impedanci
impedance	impedancí
imperializmus	imperialismu
implantát	implantátem
implantát	implantátu
implikovat	implikuje
import	importu
ina	ina
incest	incestu
index	indexem
indexový	indexovou
indexový	indexová
indexování	indexování
indexový	indexové
indexový	indexových
indexový	indexovými
index	indexy
index	indexů
indikační	indikačním
individuum	individua
informovaný	informován
informovaný	informována
informovaný	informováni
informování	informování
iniciátor	iniciátorem
injekce	injekcí
inkaso	inkasa
inkasovat	inkasoval
inspektor	inspektoři
inspekční	inspekčního
inspirovaný	inspirovaná
inspirovaný	inspirován
instalace	instalací
instalovat	instalovat
instalovaný	instalována
instalovaný	instalovány
instituční	instituční
integrující	integrující
intelektuálně	intelektuálně
intenzívně	intenzívněji
internacionální	internacionální
interpelace	interpelaci
interpolace	interpolaci
interpolační	interpolační
interpretovaný	interpretováno
interrupce	interrupci
inventarizace	inventarizaci
inventura	inventuru
inventura	inventury
investice	investicích
investovaný	investované
investovaný	investovány
investování	investování
investující	investující
inzerent	inzerenti
inzerent	inzerenty
inzerent	inzerentů
inzerent	inzerentům
inzertní	inzertních
inzulín	inzulínu
inženýr	inženýr
ionizace	ionizaci
iont	ionty
iont	iontů
ir	ir
IRS	irs
István	istván
Ivan	ivan
Ivana	ivana
Ivo	ivo
izotop	izotopu
izotop	izotopy
izotop	izotopů
izotropní	izotropní
jaký	jací
jakost	jakosti
jakostní	jakostních
jakýpak	jakápak
jakýsi	jakýchsi
Janička	janička
Jaromír	jaromír
Jaroslav	jaroslav
Jaroslava	jaroslava
jasně	jasně
jatka	jatka
jazykovědec	jazykovědců
jdoucí	jdoucí
jet	jede
jet	jedete
jedináček	jedináček
jíst	jedla
jíst	jedli
jíst	jedlo
jednací	jednacích
jednací	jednacího
jednací	jednacímu
jednotlivec	jednotlivec
jednaný	jednáno
jedny	jedněmi
jet	jedou
jedoucí	jedoucí
jedoucí	jedoucího
jedoucí	jedoucím
jet	jedu
jíst	jedí
Jeffrey	jeffrey
jet	jelo
jenom	jenom
Jerral	jerral
jet	jet
jevový	jevovou
jevový	jevové
jezdec	jezdec
jezdit	jezdil
jezdit	jezdila
jezdit	jezdilo
jezdit	jezdily
jezdit	jezdím
jezdit	jezdíme
jezdit	jezdíte
jezdívat	jezdíval
jezdívat	jezdívali
jezdívat	jezdívalo
jezdívat	jezdívaly
jezný	jezného
jezový	jezová
jezový	jezové
jet	jeď
jistý	jista
jistý	jisti
jistě	jistě
jištěný	jištěna
jištěný	jištěných
jmenovaný	jmenovaní
jmenovat	jmenovat
jmenovatel	jmenovatele
jmenovatel	jmenovatelem
jmenovitý	jmenovitou
jmenovitý	jmenovité
jmenovaný	jmenován
jmenovaný	jmenována
jmenovaný	jmenováni
jmenování	jmenování
jmění	jměním
Joe	joe
Johannesburg	johannesburg
Joseph	joseph
být	jseš
Julius	julius
Juppé	juppé
jíst	jíme
jíst	jíst
jízdné	jízdné
jóga	jógou
kilowatt	kW
kabelový	kabelovou
kabelový	kabelová
kabelový	kabelové
kabina	kabin
kabina	kabiny
kabina	kabině
kabátek	kabátek
Kadlec	kadlec
kalhotky	kalhotky
kalkulace	kalkulaci
kalorie	kalorií
Kalvoda	kalvoda
kamarád	kamarádi
kamarádka	kamarádka
kamenitý	kamenité
Kamil	kamil
kamion	kamionu
kamion	kamiony
kamion	kamionů
kamínek	kamínky
Kanada	kanada
kanoe	kanoi
kanonýr	kanonýra
kantor	kantoři
kapacita	kapacita
kapacitní	kapacitní
kapitola	kapitole
kapitola	kapitolu
kapitola	kapitolách
kapitál	kapitál
kapitálový	kapitálová
kapitál	kapitálu
kaplička	kaplička
karavan	karavanem
karbon	karbonu
karbovanec	karbovance
Karel	karel
Karola	karola
karta	karty
kartáček	kartáček
karát	karátu
karát	karátů
kaskáda	kaskády
katalog	katalogy
katalog	katalogů
katolík	katolíků
kauza	kauze
kauza	kauzu
kauza	kauzy
kauza	kauzách
Kazimír	kazimír
kašna	kašen
KB	kb
KDS	kds
KDU	kdu
kemp	kempu
keramika	keramika
kilowatt	kilowattů
kinematografie	kinematografii
kiosek	kiosku
klást	klade
kladený	kladen
kladený	kladeny
klad	klady
kladívko	kladívko
klamat	klame
klapat	klapalo
klasika	klasiku
klesající	klesající
klesat	klesat
klesnout	klesnout
klidně	klidně
klidový	klidové
klientela	klientelu
klientela	klientely
kliknout	klikněte
klinika	klinice
klinika	kliniku
klobouček	klobouček
klubový	klubové
klubový	klubových
kluk	klukovi
klást	klást
klín	klína
kilometr	km
kmitočet	kmitočtem
kmitočtový	kmitočtové
kmitočet	kmitočtu
kmitočet	kmitočty
kmitočet	kmitočtů
kmit	kmity
kmitání	kmitání
kmit	kmitů
knihovnice	knihovnice
knihovnický	knihovnické
knoflík	knoflíku
knížka	knížka
knížka	knížkách
kodaňský	kodaňská
kodifikace	kodifikaci
kolabovat	kolabuje
kolaps	kolapsu
kolega	kolega
kolektiv	kolektiv
kolektiv	kolektivech
kolektiv	kolektivu
kolektiv	kolektivy
kolektiv	kolektivů
kolektiv	kolektivům
kolize	kolizi
kolonie	kolonii
kolonie	kolonií
koláž	koláže
komando	komanda
komanditní	komanditních
kombinovaný	kombinované
kombinovaný	kombinovaném
kombinovat	kombinovat
komodita	komodit
komodita	komoditami
komoditní	komoditních
komodita	komodity
komorní	komorní
kompakt	kompaktů
kompatibilní	kompatibilních
kompenzace	kompenzaci
kompletní	kompletní
kompletní	kompletním
kompletně	kompletně
komplex	komplexy
komplex	komplexů
komplikovat	komplikovat
kompozitní	kompozitního
kompozitní	kompozitním
komunista	komunista
komunita	komunit
komunita	komunitu
komunita	komunity
komunita	komunitách
komunita	komunitě
komutační	komutačního
konaný	konaných
koncentrace	koncentraci
koncentrace	koncentrací
koncentrák	koncentráku
koncept	konceptu
koncept	konceptů
koncipovaný	koncipována
koncipování	koncipování
kondice	kondici
koneckonců	koneckonců
konfiskace	konfiskaci
konfrontační	konfrontačního
kongresový	kongresové
kongres	kongresu
kongres	kongresy
konkrétně	konkrétně
konkurzní	konkurzních
konkurzní	konkurzního
konkurzní	konkurzním
konkurz	konkurzu
konsenzus	konsenzu
konsolidace	konsolidaci
konsolidovaný	konsolidované
konstatovaný	konstatováno
konstatování	konstatování
konstatování	konstatováním
konstruktér	konstruktéři
konstruovat	konstruovat
kontextový	kontextové
kontingent	kontingentu
kontrakt	kontraktech
kontrolor	kontrolor
kontrolor	kontrolora
kontrolor	kontrolory
kontrolovat	kontrolovat
kontrolovaný	kontrolován
kontrolovaný	kontrolována
kontrolor	kontroloři
konzervativec	konzervativce
konzervativec	konzervativců
konzultant	konzultanta
konzultant	konzultanti
konzultant	konzultanty
konzultant	konzultantů
konzumace	konzumaci
konzum	konzumu
konzumovat	konzumuje
konání	konání
končit	končit
končící	končících
končící	končícím
kooperace	kooperací
kooperující	kooperujících
kopat	kopat
kopie	kopii
kopie	kopií
kopírovat	kopírovat
kopírování	kopírování
korekce	korekci
korelace	korelaci
korelační	korelační
korelační	korelačního
korespondovat	koresponduje
koridor	koridoru
korový	korové
korový	korových
korporace	korporacemi
korporace	korporaci
korporace	korporací
koryto	koryta
kosmetika	kosmetiku
kosmetika	kosmetiky
kosmonautika	kosmonautiku
kosmonautika	kosmonautiky
kosočtverečný	kosočtverečné
kostelík	kostelík
kostelíček	kostelíček
kostýmek	kostýmek
kostým	kostýmů
kotovaný	kotovaných
kotovaný	kotovány
koukat	koukat
koupaliště	koupaliště
koupený	koupené
koupit	koupit
koupit	koupím
kousíček	kousíček
kouření	kouření
kouřit	kouřit
kov	kovech
kov	kovy
kovák	kováků
kočička	kočičku
kočárek	kočárek
kořist	kořisti
kořínek	kořínky
košík	košíky
krach	krachem
krach	krachů
krajský	krajská
kras	krasu
kratičký	kratičké
kredit	kreditu
Krenz	krenz
kreslený	kreslené
kreslení	kreslení
kriminalista	kriminalistů
kritizovaný	kritizován
kritizovaný	kritizována
krmný	krmné
krmný	krmných
kronika	kroniku
kropit	kropit
kruh	kruhy
krvácení	krvácení
krychlový	krychlové
krychlový	krychlových
krystal	krystalech
krystalový	krystalové
krystalový	krystalových
krystal	krystaly
krystal	krystalů
krytý	kryta
krytý	kryto
krytí	krytí
krácení	krácení
krám	krám
krást	krást
kráter	kráteru
krůček	krůčky
kus	ks
kubík	kubíků
kuchyňka	kuchyňka
kufřík	kufříku
Kuka	kuka
kulička	kuliček
kulička	kuličky
kuloár	kuloárech
koupit	kup
kupní	kupních
kupon	kuponem
kuponový	kuponová
kuponový	kuponové
kupovaný	kupované
kupující	kupující
kupující	kupujících
kupující	kupujícího
kupující	kupujícím
kupón	kupónem
kurs	kursech
kurs	kursem
kurz	kurzem
kurz	kurzu
kurz	kurzy
kurz	kurzů
kusový	kusové
kutil	kutil
kutil	kutilové
kvalifikace	kvalifikací
kvantum	kvant
kvarteto	kvarteta
kvintet	kvintet
kvítek	kvítky
kytička	kytičky
kádrový	kádrové
kádr	kádru
kádr	kádry
kótovaný	kótovány
křivka	křivce
křivda	křivd
křivka	křivek
křivka	křivky
křídlatý	křídlaté
křížený	křížených
kříž	kříži
kůlna	kůlny
ladem	ladem
Ladislav	ladislav
lahev	lahve
lahůdka	lahůdky
lalok	laloku
lalok	laloků
lano	lana
Lang	lang
lanovka	lanovce
lanovka	lanovkou
laptop	laptopy
Lawrence	lawrence
leasingový	leasingové
leckterý	leckteré
leccos	lecos
Lee	lee
legenda	legendou
legenda	legendy
legislativa	legislativy
legislativa	legislativě
legitimita	legitimitu
lehnout	lehnout
lehátko	lehátka
leninský	leninskou
Leo	leo
letec	letec
letectvo	letectvem
letka	letky
letmo	letmo
letní	letní
letovisko	letoviska
letý	letá
leták	letáků
letý	leté
letý	letého
letý	letém
letý	letému
letý	letých
letý	letým
letý	letými
letět	letět
léta	letům
leukémie	leukémii
Lewis	lewis
lézt	leze
lézt	lezla
lézt	lezli
leč	leč
lež	lež
ležící	ležících
libra	liber
libra	libru
libra	libry
libra	libře
licenční	licenčních
lihovar	lihovary
likvidita	likviditou
likvidita	likviditu
likvidita	likvidity
likvidovat	likvidovat
likvidátor	likvidátorů
likvidátor	likvidátoři
lít	lilo
limit	limitech
limit	limitu
limit	limity
limonáda	limonády
lin	lin
lingvista	lingvista
lingvista	lingvisty
lingvista	lingvisté
lingvista	lingvistů
list	listy
litovat	litovat
liga	lize
Lloydův	lloydova
LN	ln
logika	logika
lom	lom
losangeleský	losangeleská
lotynka	lotynky
lovec	lovec
loňsko	loňska
loňsko	loňsku
lože	loži
lupič	lupič
luč	luč
lyžařka	lyžařka
lyžování	lyžování
lágr	lágru
lámat	lámat
látkový	látkové
lázeňský	lázeňskou
lázeňský	lázeňské
lázně	lázních
Láďa	láďa
lékařka	lékařka
létat	létaly
létat	létat
létat	létá
létání	létání
léčení	léčení
léčit	léčit
lídr	lídrem
lísteček	lísteček
lítost	lítostí
lítat	lítá
líčení	líčení
magazín	magazínu
magnetofon	magnetofony
magnetofon	magnetofonů
magnetopáskový	magnetopáskových
mail	mailu
majetkový	majetkovou
majitelka	majitelka
majoritní	majoritním
mající	mající
makléř	makléře
makléř	makléřem
makléř	makléři
makléřský	makléřskou
makléřský	makléřská
makléř	makléřů
makléř	makléřům
malo	mala
Malcolm	malcolm
malinký	malinká
malinký	malinké
maličko	malička
maličký	maličkou
maličký	maličká
maloobchodní	maloobchodní
maloobchodní	maloobchodním
malovat	malovat
malování	malování
malta	malt
malta	maltu
malta	malty
maminčin	maminčin
manažerka	manažerka
manažerský	manažerskou
manažerský	manažerská
manifestace	manifestaci
manipulační	manipulační
manžel	manžele
manžel	manžely
manželčin	manželčin
manžel	manželů
manželův	manželův
Mapplethorpe	mapplethorpe
Maradona	maradona
Mark	mark
marketing	marketingem
marketing	marketingu
marně	marně
Marta	marta
Martin	martin
Martina	martina
Martinka	martinka
marxistický	marxisticko
marxistický	marxistické
maršál	maršála
maršálek	maršálek
marže	marži
marže	marží
mastaba	mastaby
masér	masér
masér	maséra
masér	masérů
masív	masívem
matematik	matematik
materialistický	materialistické
Mathé	mathé
matice	matice
maturovat	maturovala
maturovat	maturovali
Maynard	maynard
mazivo	maziv
McDonough	mcdonough
mechanik	mechanici
mechanik	mechaniků
megawatt	megawattů
memorandum	memorandu
meniskus	menisku
malý	menší
malý	menších
malý	menšího
malý	menším
malý	menšími
malý	menšímu
mercedes	mercedesu
Merrill	merrill
meteorit	meteority
metodika	metodiky
metodologie	metodologii
metropole	metropole
mezipřistání	mezipřistání
Mečiar	mečiar
Michael	michael
migrace	migraci
migrace	migrací
Mike	mike
milion	milion
milion	milionech
milion	milionem
milion	milionu
milion	miliony
milion	milionům
Miller	miller
milník	milníky
Miloslav	miloslav
milovat	milovat
milovník	milovník
milovník	milovníky
milování	milování
milý	milé
mimoburzovní	mimoburzovního
mimoburzovní	mimoburzovním
mimochodem	mimochodem
mimosoudní	mimosoudní
minerál	minerály
ministryně	ministryně
minometný	minometné
minoritní	minoritních
minuta	minut
Miroslav	miroslav
mistr	mistr
Mitterrand	mitterrand
mizet	mizet
major	mjr
mladý	ml
miliarda	mld
mluvenost	mluvenosti
mlynářka	mlynářka
mládež	mládeži
mládežnický	mládežnické
mládež	mládeží
mlékárna	mlékáren
mlčení	mlčení
milimetr	mm
já	mnou
mobilní	mobilních
moci	moct
moc	mocí
model	model
modernizace	modernizací
modernizovat	modernizovat
moderátor	moderátor
modro	modra
mohutně	mohutně
molekula	molekul
molekula	molekulu
molekula	molekuly
molo	molu
moment	momentech
moment	momentu
moment	momentě
moment	momentů
monitorovat	monitoruje
montáž	montáže
montáž	montáži
montáž	montáží
morfologie	morfologii
Morishita	morishita
motivace	motivaci
motivace	motivací
motivovaný	motivován
motivovaný	motivována
motivovaný	motivováno
motoristický	motoristické
motorista	motoristy
motorista	motoristé
moudře	moudře
moře	moře
možná	možná
mravenčí	mravenčí
mravní	mravní
mutagenní	mutagenního
muzika	muzice
muzika	muzikou
muzika	muziku
muzika	muziky
mučení	mučení
myofilamentum	myofilament
myofilamentum	myofilamenta
myokard	myokardu
myozin	myosinu
myslit	mysleli
myslivec	myslivci
myslivecký	myslivecké
myslivost	myslivosti
mytí	mytí
myšlený	myšleno
myšlení	myšlení
májový	májové
málem	málem
málokdo	málokomu
mít	mám
mání	mání
Máša	máša
médium	média
médium	médii
médium	médií
médium	médiích
můj	mí
míchání	míchání
mínus	mínus
míněný	míněno
mínění	mínění
mírně	mírně
mísení	mísení
místečko	místečko
místopředsedkyně	místopředsedkyně
místopřísežný	místopřísežném
mívat	míval
mívat	mívali
mívat	mívá
mívat	míváme
mívat	míváte
míček	míčky
mýtus	mýtu
mýtus	mýty
měnit	měnit
měnič	měniče
měnící	měnících
měnící	měnícím
městečko	městečko
měsíční	měsíční
měsíčník	měsíčníku
měřený	měřeno
měření	měření
měření	měřením
měřicí	měřicích
měřící	měřících
měšťanka	měšťance
měšťanka	měšťanku
měšťanka	měšťanky
moci	můžem
moci	můžou
nabídkový	nabídkovou
nabídkový	nabídková
nabídkový	nabídkové
nabídnout	nabídnout
nabídnutý	nabídnut
nabídnutý	nabídnuta
nabídnutý	nabídnuto
nabídnutý	nabídnuty
nabídnutý	nabídnuté
nabízený	nabízen
nabízený	nabízena
nabízený	nabízeno
nabízený	nabízeny
nabízený	nabízená
nabízený	nabízené
nabízený	nabízeného
nabízený	nabízených
nabízet	nabízet
nabývat	nabývají
nabývat	nabývat
nachlazení	nachlazení
nacházející	nacházející
nacházet	nacházet
nadbytečný	nadbytečné
nadbytečný	nadbytečného
Nadeau	nadeau
nadhodit	nadhodil
nadpráce	nadpráci
nadvýrobek	nadvýrobku
nadání	nadání
nadávat	nadávat
nadřízený	nadřízení
nadšený	nadšen
nadšený	nadšeni
