prósent	<percent/>
karlalandslið	karlalandsliðið
kaupskapur	kaupskap
kaupstaður	kaupstað
kaupstaður	kaupstaðinn
kaupstaður	kaupstaðnum
kaupstaður	kaupstaðurinn
kaðlín	kaðlín
kelling	kelling
koma	kemst
koma	kemur
kenna	kenn
kenna	kenndu
kenna	kenndur
kenna	kenni
kennimaður	kennimanna
kennimaður	kennimenn
kenna	kennir
keppa	keppast
keyra	keyrir
kippa	kippir
kjörtímabil	kjörtímabili
klausturhaldari	klausturhaldara
kleifur	kleift
klæða	klæddist
klængur	klængur
knattspyrnusamband	knattspyrnusambandið
knútur	knútur
kolbeinn	kolbeinn
kolsvartur	kolsvört
koma	komanda
koma	komast
koma	komi
koma	komin
koma	komir
koma	komist
koma	komst
kongur	kong
kongur	konginum
kongur	kongs
kongur	kongsins
konungsdóttir	konungsdóttur
konungsmaður	konungsmenn
korði	korða
kostgæfa	kostgæfum
krefja	krafðist
krefja	krefjast
krefja	krefst
kring	kring
kringum	kringum
kristur	kristi
kristur	kristur
kristur	kristus
krossfesta	krossfestur
kuflungur	kuflungar
kunna	kunnim
kunningi	kunningjar
kunna	kunnið
kunna	kunnu
kvöld	kveldi
kveða	kveðst
kveða	kveður
kvinna	kvinnu
kvonga	kvongaðist
kvöldmáltíð	kvöldmáltíðar
kunna	kynnu
kyssast	kysstumst
koma	kæmist
kær	kæran
kærlega	kærlega
kærleikur	kærleikurinn
koma	kómu
kóngsdóttir	kóngsdóttur
kóngssonur	kóngssonar
koma	kömur
kúgildi	kúgildum
kjósa	kýs
leggja	lagst
leggja	lagðan
leggja	lagði
leggja	lagður
landsbyggð	landsbyggðinni
landsmaður	landsmanna
landsmaður	landsmenn
landsmaður	landsmönnum
landtjald	landtjöld
langafasta	langaföstu
langur	langan
letja	latti
ljúka	lauk
lausnari	lausnara
lausnari	lausnera
laða	laði
leggja	leggi
leggja	leggir
leggja	leggjandi
leggja	leggur
liggja	legið
leggja	legði
leggja	legðist
leita	leitar
leita	leitið
leita	leitum
leið	leiðar
leið	leiðin
leiðrétta	leiðréttist
lengstum	lengstum
lesa	les
leyfa	leyfir
leynilega	leynilega
leysa	leys
leysa	leysast
leysa	leysir
lifa	lifi
lifa	lifir
lifa	lifum
lifa	lifðu
liggja	liggi
liðsafli	liðsafla
liðsfjöldi	liðsfjölda
liðsmaður	liðsmenn
liðveisla	liðveizlu
ljá	ljái
lofa	lofar
lof	lofs
loks	loks
loksins	loksins
loft	lopti
lund	lundir
lysta	lystir
liggja	lágu
láta	lát
láta	láti
láta	látir
láta	látnir
lækning	lækningar
láta	lætur
leika	léki
lénsherra	lénsherrans
láta	léti
láta	létum
lífga	lífgar
líkami	líkam
líkami	líkamir
líkami	líkams
líklegur	líklegast
líta	líti
lítill	lítið
líta	lítum
líta	lítur
líða	líður
lófar	lófar
lögmál	lögmáli
lögmál	lögmálinu
lögrétta	lögréttu
lögréttumaður	lögréttumenn
leggja	lögðu
langur	löngu
lúðragangur	lúðragang
ljúka	lýkur
lýsa	lýsir
ljósta	lýstur
lúta	lýtur
lítill	m.
munu	man
manngi	mangi
maður	manna
maður	mannanna
manndómur	manndóm
maður	manni
maður	manninn
mannmargur	mannmargt
mannskaði	mannskaða
muna	manst
margur	mart
matast	matast
matborð	matborði
mega	megi
mega	megim
mega	megir
mega	megið
megna	megnar
mega	megu
mega	megum
mega	meguð
meina	meinar
meingerð	meingerðir
meinlæti	meinlætum
mikill	meir
menntamál	menntamála
merkja	merk
merkja	merkir
merkja	merkjanda
meira	mest
meiri	mestar
meta	metur
meyja	meyjarinnar
með	með
meðalganga	meðalgöngu
meðkenna	meðkenndi
meðtaka	meðtekur
mikill	mikillri
mildi	mildi
millum	millum
minna	minnast
minna	minnir
minna	minnist
minni	minnstu
minna	minntist
lítill	minnum
lítill	minnur
lítill	minsta
miðað	miðað
mið	miðið
miður	miðjan
miður	miðjum
morgunn	morgin
morgunn	morgininn
munu	muna
muna	munar
munu	munda
munu	mundi
munu	mundir
munu	mundu
munu	mundum
munu	munduð
munu	muni
munu	munir
munu	munið
munnur	munninn
munu	munt
munu	munuð
munu	mynda
mynda	myndaðist
munu	myndir
munu	myni
myrkvastofa	myrkvastofu
myrkvastofa	myrkvastofunni
myrra	myrru
mega	má
málstofa	málstofu
mega	mátt
mega	mátta
mega	máttum
mæla	mælir
mæla	mælist
mæla	mæltist
mæla	mælum
mæta	mætast
mega	mætti
mega	mættim
mega	mættir
mega	mættu
mega	mættum
mæa	mæðist
mæða	mæðu
mótgangur	mótgang
mótgangur	mótgangi
móti	móti
mótspyrna	mótspyrnu
nokkur	nakkvað
naumt	naumast
nauðstaddur	nauðstöddu
nefna	nefndir
nefna	nefndist
nefna	nefni
nefna	nefnir
nefna	nefnist
neita	neitar
neita	neitti
nokkur	nekkver
nokkur	nekkvern
nokkur	nekkvers
nokkur	nekkvi
nema	nemur
neyta	neytir
neyta	neytt
neyta	neytti
neðan	neðan
njósn	njósnum
njóta	njótum
nokkur	nokkri
nokkur	nokkura
nokkur	nokkurar
nokkur	nokkurir
nokkur	nokkuru
nokkur	nokkurum
norðan	norðan
nota	notar
ná	nái
nálgast	nálgaðist
nálega	náliga
nálægt	nálægt
nema	námu
náttstaður	náttstað
náttúrulega	náttúrulega
náungi	náungs
ná	náði
ná	náðist
ná	náðst
ná	náðu
nægilega	nægilega
nærri	næst
næstunni	næstunni
nótt	næturnar
né	né
níu	níu
níða	níðast
nokkur	nökkra
nokkur	nökkri
nokkur	nökkru
nokkur	nökkur
nokkur	nökkurn
nokkur	nökkvað
nokkur	nökkverja
nokkur	nökkverju
nokkur	nökkvern
nýta	nýti
og	o.
of	of
ofan	ofan
ofboðslega	ofboðslega
ofmetnaður	ofmetnaði
ofmikill	ofmikið
ofsögur	ofsögum
ofurlítill	ofurlitla
ofurlið	ofurliði
ofurlítill	ofurlítinn
ofurlítill	ofurlítið
og	og
ég	okkar
við	okkarn
okkar	okkart
okkar	okkrum
ég	okkur
okri	okri
okursynd	okursyndin
valda	olli
opna	opnuðust
oft	opt
orka	orkar
orrusta	orrosta
orrusta	orrostu
orð	orðum
ég	oss
ponta	pontu
prentverk	prentverkið
prédikunarstóll	prédikunarstólnum
prísa	prísa
páskalamb	páskalambinu
páskalamb	páskalambið
páskalamb	páskalambsins
pétur	pétur
pílatus	pílatus
pína	pínast
pípari	píparinn
pírati	píratar
ragnheiður	ragnheiður
rammaáætlun	rammaáætlunar
renna	rann
reglulega	reglulega
reikningsskapur	reikningsskap
reikningsskapur	reikningsskapar
rísa	reis
reisa	reisir
reisa	reisu
ríða	reið
reka	rekinn
renna	renni
róa	reru
reyna	reynast
reyndar	reyndar
reyna	reyndist
reyna	reyni
reyna	reynir
reyna	reynum
riddaraskapur	riddaraskap
riddaraskapur	riddaraskapar
rifja	rifjaðist
rísa	risið
rísa	risu
rita	ritin
ritning	ritningar
ritning	ritningarinnar
ríða	riði
rosalega	rosalega
ráðsmaður	ráðsmann
ráðuneyti	ráðuneytisins
ráðuneyti	ráðuneytið
rækilega	rækilega
ræna	rænu
ræta	rætast
ráða	ræð
ræða	ræðir
réttur	réttan
réttur	réttrar
réttur	réttri
ráða	réði
ráða	réðst
ráða	réðust
ríkdómur	ríkdóm
ríkharður	ríkharður
ríkissjóður	ríkissjóði
ríkissjóður	ríkissjóðs
ríxdalur	ríxdal
ríxdalur	ríxdali
ríxdalur	ríxdalir
ríða	ríður
rómur	róm
rödd	röddu
rök	rökum
rangur	röngu
rúmstokkur	rúmstokknum
svo	s.
safna	safnar
safna	safnaðist
sakir	sakir
sakna	saknar
saltari	saltara
saman	saman
samanborið	samanborið
samfara	samfara
sama	samir
samkvæmt	samkvæmt
samráð	samráði
samstaða	samstöðu
samt	samt
samtals	samtals
sanna	sannaðist
sefa	sefaðist
seilast	seildist
seint	seinast
sekk	sekkinn
sel	selinu
sel	selið
selja	selji
selskapur	selskap
selja	selur
sem	sem
sendimaður	sendimenn
sendimaður	sendimönnum
senda	sendir
setja	set
setja	setjum
setja	sett
setja	setta
setja	setti
setja	settir
setja	settu
setja	settur
setja	setur
sigla	siglir
sigra	sigraðir
silfurpeningur	silfurpeninga
sinn	sinna
sitja	sit
sitja	sitji
sitja	sitjum
sá	sjá
sjá	sjáandi
sjálfur	sjálfa
sjálfur	sjálfs
sjávarútvegur	sjávarútveginn
sjór	sjóvar
skulu	skalt
skör	skarar
skjóta	skaust
skeina	skeindist
skjálfa	skelfur
skemmtan	skemmtan
skemmtan	skemmtanar
ske	skeður
skikka	skikkað
skikka	skikkaði
skilja	skilji
skilja	skiljum
skipa	skipar
skipta	skiptist
skipta	skiptust
skipulega	skipulega
skip	skipunum
skipast	skipuðust
skipverji	skipverjar
skjótt	skjótt
skora	skorar
skorta	skortir
skjóta	skotið
skrifa	skrifi
skríða	skriðu
skrítinn	skrítið
skulu	skuli
skulu	skulum
skulu	skuluð
skunda	skundar
skunda	skundum
skyggnast	skyggnist
skulu	skylda
skulu	skyldir
skulu	skyldu
skulu	skyldum
skulu	skyli
skína	skín
skóggangur	skóggang
skólameistari	skólameistara
skapa	skóp
skömmu	skömmu
skúta	skútan
skúta	skútu
skúta	skútuna
skjóta	skýtur
sleppa	sleppir
sleppa	sleppum
slot	slotið
slotspláss	slotsplássinu
slá	slær
slíkur	slíka
slíkur	slíkan
slíkur	slíkar
slíkur	slíkir
slíkur	slíkra
slíkur	slíkrar
slíkur	slíkri
slíkur	slíks
slíkur	slíku
slíkur	slíkum
smeygja	smeygði
snara	snaraðist
snúa	snerist
snúa	sneru
snúa	snerust
snemma	snimma
snöggt	snöggvast
snúa	snú
snúa	snúast
snúa	snúi
snúa	snúist
snúa	snýr
snúa	snýst
so	so
sofna	sofnar
soldáti	soldát
soldáti	soldátar
spara	sparði
spila	spilar
spjótskaft	spjótskaftið
spott	spotti
spretta	sprettur
spyrja	spurst
spyrja	spyr
spyrja	spyrjandi
spyrja	spyrjast
spyrja	spyrji
spyrja	spyrjið
spyrja	spyrst
spyrja	spyrð
staddur	staddir
stafn	stafni
stallur	stalli
standa	standast
staðfastur	staðfastir
staðfesta	staðfestu
staðnæmast	staðnæmdist
stefna	stefni
stefna	stefnir
steinbogi	steinboganum
standa	stend
standa	stendur
sterklega	sterklega
steypa	steypir
stigamaður	stigamenn
stíga	stigið
stinga	stingur
stjórnarandstaða	stjórnarandstaðan
stjórnarandstaða	stjórnarandstöðu
stoða	stoðar
straffa	straffa
straffa	straffað
straffa	straffaði
stríða	stríðir
stríðsmaður	stríðsmenn
styðja	studdist
stund	stundu
sturla	sturla
stuðla	stuðla
stíga	stígur
stólur	stólsins
stórmennska	stórmennsku
standa	stóð
staddur	stödd
standa	stöndum
stúfur	stúfur
stýrimaður	stýrimanni
stýra	stýrir
sumur	suma
sumur	sumar
sumur	sumir
sumur	sumra
sumur	sums
sumur	sumu
sumur	sumum
sunnan	sunnan
suðvesturhorn	suðvesturhorninu
svara	svarar
sverja	sver
svo	svo
svoddan	svoddan
svíkja	svíkur
svívirðing	svívirðingar
synd	syndar
syndari	syndara
syndugur	syndgir
synd	syndir
syndugur	syndugra
syndugur	syndugs
syndugur	syndugum
synd	syndum
syngja	syngur
sá	sáir
sála	sála
sála	sálu
sálugur	sáluga
sitja	sátu
sjá	sáum
sækja	sæki
sækja	sækir
sækja	sækjast
sækja	sækjum
sæll	sæla
særa	særir
sátt	sættum
vera	sé
vera	séim
vera	séið
vera	sérð
símon	símon
síðri	síst
síðan	síðan
síðar	síðar
síðarnefndur	síðarnefnda
síðar	síðast
síðdegis	síðdegis
síðari	síðustu
sækja	sókti
sækja	sóktu
sækja	sóttu
sækja	sóttur
sökum	sökum
sala	sölum
söðulbogi	söðulbogann
sýna	sýnir
sýni	sýnis
tag	tagi
taka	tak
taka	takast
taka	takist
telja	talt
taxti	taxta
taka	tekin
taka	tekið
tekja	tekjur
telja	tel
telja	teldi
telja	telji
telja	teljum
telja	telur
tengja	tengdumst
tengja	tengist
til	til
tilhneiging	tilhneigingar
tilkoma	tilkomu
tilsegja	tilsagt
tilskipun	tilskipan
tiltekinn	tiltekna
tilvik	tilviki
tjá	tjár
tjald	tjöldum
torfi	torfi
torfæra	torfærur
torsóttur	torsótt
treysta	treystast
Trump	trump
trúa	tryði
tré	tréið
trappa	tröppur
trú	trúar
trúa	trúi
trúa	trúir
trúa	trúið
trú	trúu
trúa	trúðu
tvennur	tvennu
taka	tækju
tímapunktur	tímapunkti
tíu	tíu
tíðindi	tíðendi
tíðendi	tíðendin
taka	tókst
taka	tókust
tónn	tón
ugga	uggir
umfram	umfram
umhverfis	umhverfis
umtala	umtölur
undir	und
undan	undan
undanúrslit	undanúrslitin
undanúrslit	undanúrslitum
undir	undir
undirtekt	undirtektir
undra	undraðist
ungur	unga
una	unir
uns	uns
upp	upp
uppfylla	uppfylltist
upplifa	upplifað
uppá	uppá
verða	urðum
utan	utan
utanferð	utanferðar
vaka	vakandi
vaka	vakir
vakna	vaknar
vaktmeistari	vaktmeistarans
vaktmeistari	vaktmeistaranum
vaktmeistari	vaktmeistarinn
velja	valdir
vandlega	vandlega
vandlega	vandliga
vanheilsa	vanheilsu
vanmáttur	vanmátt
vinna	vannst
vanta	vantar
vanta	vantaði
vanta	vanti
varningur	varning
varningur	varningi
varða	varðar
varðmaður	varðmenn
varðveisla	varðveislu
varðveita	varðveitir
vegna	vegna
vega	vegnir
vegsemd	vegsemdar
veita	veiti
veita	veitir
veisla	veizlunni
vekja	vek
velgjörð	velgjörðir
venja	venjast
vera	vert
verulega	verulega
verzlun	verzlunarinnar
verzlunarstjóri	verzlunarstjóra
verzlunarstjóri	verzlunarstjórann
verzlunarstjóri	verzlunarstjórans
verzlunarstjóri	verzlunarstjórinn
verzlunarstjórn	verzlunarstjórnin
verzlun	verzluninni
verða	verð
verða	verðim
verða	verðir
verða	verðið
verðleiki	verðleikum
verðtryggður	verðtryggð
verða	verðum
verða	verður
veröld	veröldunni
vesalingur	vesalings
vestan	vestan
vetfang	vetfangi
vettugi	vettugi
vettvangsbúi	vettvangsbúar
veturnótt	veturnætur
veturnótt	veturnóttum
vaxa	vex
veðrátta	veðráttu
veðurdagur	veðurdag
vilja	vil
vilja	vilda
vilja	vildim
vilja	vildir
vilja	vildu
vilja	vildum
vilja	vili
vilja	vilið
vilja	vilji
vilja	viljir
vilja	viljið
vilja	viljum
vilja	vilt
vinna	vinnast
vinna	vinni
vinna	vinnum
vinnumarkaður	vinnumarkaðarins
vinna	vinnur
vinsæld	vinsælda
virka	virkar
virða	virtust
virða	virðir
virðulega	virðulega
virða	virðum
virða	virður
vita	vitanda
vitna	vitnar
vitnisburður	vitnisburð
vitnisburður	vitnisburði
vitrast	vitraðist
vitsmunir	vitsmuni
vita	vitu
vita	vitum
viðskiftamaður	viðskiftamenn
viðtaka	viðtöku
vonska	vonsku
vopna	vopnast
vora	voraði
vor	vorn
voðalega	voðalega
vera	váru
vænd	vændum
ég	vær
vera	væra
vera	væri
vera	værim
vera	værir
vera	væru
vera	værum
ég	vér
víg	víginu
víg	vígið
vígsmál	vígsmálið
víkja	víkur
vísa	vísar
víða	víða
vera	vóru
völlur	völlu
vara	vörum
vaxa	vöxnu
yfir	yfir
yfirbragð	yfirbragði
yfirferð	yfirferðar
yfirgefa	yfirgefur
yfirkoma	yfirkomnir
yfirstígja	yfirstigið
ykkar	ykkrum
þú	ykkur
verða	yrðu
ytri	yztu
þú	yðar
þú	yður
yðar	yðvarn
yðar	yðvarra
yðar	yðvarri
yðar	yðvars
á	Á
áki	Áka
áki	Áki
ármann	Ármann
ármann	Ármanni
ármann	Ármanns
ármannsfell	Ármannsfell
árnason	Árnasonar
ásbjörn	Ásbirni
ásbjörn	Ásbjarnar
ásbjörn	Ásbjörn
ásgrímur	Ásgrím
ásgrímur	Ásgrími
ásgrímur	Ásgríms
ásgrímur	Ásgrímur
ásmundarson	Ásmundarson
ásmundur	Ásmundi
ég	Ég
í	Í
ískaríot	Ískaríot
íslendingur	Íslendingur
ísrael	Ísrael
ívar	Ívar
ívarsson	Ívarsson
ófeigsson	Ófeigsson
ólöf	Ólafar
ólafsson	Ólafssonar
ólafsson	Ólafssyni
ólympíuleikar	Ólympíuleikana
ólympíuleikar	Ólympíuleikunum
ólöf	Ólöfu
ómi	Óma
ómi	Ómi
órækja	Órækja
órækja	Órækju
ótta	Ótta
óðinn	Óðinn
ögmundur	Ögmund
ögmundur	Ögmundar
ögmundur	Ögmundur
annar	Önnur
örlygsstaðafundur	Örlygsstaðafund
össur	Össur
úlfur	Úlfs
úlfur	Úlfur
úlrik	Úlrik
úr	Úr
út	Út
þangað	Þangað
það	Það
þegar	Þegar
hann	Þeir
það	Þess
þessi	Þessi
þessi	Þetta
þú	Þig
þú	Þið
þjóstarsson	Þjóstarsson
þjóðólfur	Þjóðólf
þjóðólfur	Þjóðólfur
þorbjörn	Þorbirni
þorbjörn	Þorbjarnar
þorbjörg	Þorbjörg
þorbjörg	Þorbjörgu
þorbjörn	Þorbjörn
þorfinnur	Þorfinni
þorfinnur	Þorfinns
þorfinnur	Þorfinnur
þorgautsson	Þorgautsson
þorgeir	Þorgeir
þorgeir	Þorgeirs
þorgils	Þorgils
þorgrímur	Þorgrím
þorgrímur	Þorgrími
þorgrímur	Þorgríms
þorgrímsson	Þorgrímssonum
þorgrímsson	Þorgrímssynir
þorgrímur	Þorgrímur
þorkell	Þorkell
þorkelsson	Þorkelsson
þorleifur	Þorleifi
þorleifur	Þorleifs
þorleifur	Þorleifur
þorlákur	Þorlák
þorlákur	Þorláki
þorlákur	Þorláks
þorláksson	Þorláksson
þorlákur	Þorlákur
þormóður	Þormóður
þorsteinn	Þorsteini
þorsteinn	Þorsteinn
þorsteinn	Þorsteins
þorsteinsson	Þorsteinssonar
þorvaldur	Þorvaldi
þorvaldur	Þorvaldur
þorvarður	Þorvarð
þorvarður	Þorvarðar
þorvarður	Þorvarði
þorvarðsstaðir	Þorvarðsstaði
þorvarðsstaðir	Þorvarðsstöðum
þorvarður	Þorvarður
þrándheimur	Þrándheimi
það	Því
þykja	Þykir
þyri	Þyri
þá	Þá
þó	Þó
þórarinn	Þórarin
þórarinn	Þórarinn
þórarinn	Þórarins
þórarinsson	Þórarinsson
þórarinsson	Þórarinssonar
þórarinn	Þórarni
þórur	Þóri
þórir	Þóris
þóra	Þóru
þórunn	Þórunnar
þórálfur	Þórálfi
þórálfur	Þórálfur
þórður	Þórðar
þórðarson	Þórðarsonar
þórðarson	Þórðarsyni
þórður	Þórði
þórður	Þórður
þótt	Þótt
þú	Þú
áform	áformum
áhræra	áhrærði
áhugaverður	áhugavert
ákoma	ákomur
ákveðinn	ákveðna
álykta	ályktað
álykta	ályktaði
án	án
ár	ári
á	árinnar
árlega	árlega
ármann	ármann
ásamt	ásamt
ásbjörn	ásbjörn
ásetja	ásetti
ásmundur	ásmundur
ástaddur	ástatt
ásýna	ásýnt
éta	át
átta	áttað
átta	áttaði
eiga	áttu
eiga	áttust
áverk	áverkum
áætla	áætlað
áður	áður
æfi	æfi
ætla	ætlar
ætla	ætli
ætla	ætlum
eiga	ætti
eiga	ættu
þú	ér
íbúð	íbúinn
íslenskur	íslenzkum
ítreka	ítrekar
ófær	ófært
óhljóð	óhljóðum
óháð	óháð
óhæfa	óhæfu
óhægur	óhægt
ójöfnuður	ójöfnuði
ókominn	ókomna
ókunnur	ókunna
ókunnugur	ókunnigt
ala	ólst
ólukka	ólukku
ólífi	ólífis
ólíklegur	ólíkligt
ólöf	ólöf
ónýti	ónýtis
vor	óra
vor	órar
óreyndur	óreyndu
vor	órir
vor	óru
vor	órum
órækja	órækja
ósýnn	ósýnt
óvís	óvíst
vaða	óð
vaða	óðu
öndverður	öndverðu
enginn	önga
enginn	öngan
enginn	öngar
enginn	öngu
enginn	öngum
arfur	örfum
örðugur	örðugt
öðlast	öðlist
úrbót	úrbætur
úrslitaleikur	úrslitaleik
úrvalsdeild	úrvalsdeildinni
út	út
útgefa	útgefið
útlát	útlátum
útvelja	útvalið
útvega	útvegaði
ýmist	ýmist
þakka	þakk
þakka	þakkar
þar	þar
þarkoma	þarkomu
það	þaug
þegar	þegar
hann	þeir
hann	þeira
hann	þeirr
þekkja	þekki
þekkja	þekkir
þekkja	þekkið
þekkja	þekkjast
þekkja	þekkjum
þekkja	þekktist
þekkja	þekti
þekkja	þektu
þú	þig
þiggja	þiggur
þú	þið
þjónustumaður	þjónustumenn
þingmaður	þm.
þola	þoli
þola	þolir
þola	þolum
þorbjörg	þorbjörg
þorbjörn	þorbjörn
þorgeir	þorgeir
þorgrímur	þorgrímur
þora	þori
þora	þorir
þorkell	þorkell
þorleifur	þorleifur
þorlákur	þorlákur
þorsteinn	þorsteinn
þorvaldur	þorvaldur
þora	þorðu
þreyttur	þreytt
þriðjungur	þriðjung
þrjóta	þrotinn
þrátt	þrátt
þrífa	þrífast
þurfa	þurfi
þurfa	þurfið
þurfa	þurftu
þurfa	þurfu
þurfa	þurfum
þver	þveran
þvert	þvert
þessi	þvísa
þykja	þyki
þykja	þykir
þykjast	þykjumst
þurfa	þyrfti
þurfa	þyrftu
þénari	þénara
þénari	þénarar
þénari	þénurum
þú	þér
þó	þó
þórarinn	þórarinn
þórhallur	þórhallur
þórir	þórir
þótt	þótt
þykja	þóttu
þegja	þögðu
þörf	þörfum
þýða	þýðir
